Srno,Question,OptionA,OptionB,OptionC,OptionD,answer
1," Under the shared responsibility model, which of the following is the 
customer responsible for?",Ensuring that disk drives are wiped after use.,"Ensuring that 
firmware is updated on hardware devices.","Ensuring that data is encrypted 
at rest.", Ensuring that network cables are category six or higher. ," C  
"
2," The use of what AWS feature or service allows companies to track and 
categorize spending on a detailed level?",Cost allocation tags,Consolidated billing,AWS Budgets," AWS 
Marketplace "," C  
"
3," Which service stores objects, provides real-time access to those objects, 
and offers versioning and lifecycle capabilities?",Amazon Glacier,AWS Storage Gateway,Amazon S3, Amazon EBS , C  
4," What AWS team assists customers with accelerating cloud adoption through 
paid engagements in any of several specialty practice areas?",AWS Enterprise Support,AWS Solutions Architects,"AWS Professional 
Services", AWS Account Managers , C  
5," A customer would like to design and build a new workload on AWS Cloud but 
does not have the AWS-related software technical expertise in-house.Which of the following AWS programs can a customer take advantage of to 
achieve that outcome?",AWS Partner Network Technology Partners,AWS Marketplace,"AWS 
Partner Network Consulting Partners", AWS Service Catalog , C 
6," Distributing workloads across multiple Availability Zones supports which 
cloud architecture design principle?",Implement automation.,Design for agility.,Design for failure.," 
Implement elasticity. ", C 
7, Which AWS services can host a Microsoft SQL Server database? (Choose two.),Amazon EC2,Amazon Relational Database Service (Amazon RDS),"Amazon 
Aurora", Amazon Redshift E. Amazon S3 , AB  
8," Which of the following inspects AWS environments to find opportunities 
that can save money for users and also improve system performance?",AWS Cost Explorer,AWS Trusted Advisor,Consolidated billing," 
Detailed billing ", B 
9," Which of the following Amazon EC2 pricing models allow customers to use 
existing server-bound software licenses?",Spot Instances,Reserved Instances,Dedicated Hosts," On-Demand 
Instances ", C  
10,#N/A,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
11, Which of the following are characteristics of Amazon S3? (Choose two.),A global file system,An object store,A local file store," A 
network file system E. A durable storage system ", BE 
12," Which services can be used across hybrid AWS Cloud architectures? (Choose 
two.)",Amazon Route 53,Virtual Private Gateway,Classic Load Balancer," 
Auto Scaling E. Amazon CloudWatch default metrics "," AB  
"
13," What costs are included when comparing AWS Total Cost of Ownership (TCO) 
with on-premises TCO?",Project management,Antivirus software licensing,"Data center 
security", Software development , C 
14," A company is considering using AWS for a self-hosted database that 
requires a nightly shutdown for maintenance and cost-saving purposes.Which service should the company use?",Amazon Redshift,Amazon DynamoDB,"Amazon Elastic Compute Cloud 
(Amazon EC2) with Amazon EC2 instance store"," Amazon EC2 with Amazon 
Elastic Block Store (Amazon EBS) ", D 
15," Which of the following is a correct relationship between regions, 
Availability Zones, and edge locations?",Data centers contain regions.,Regions contain Availability Zones.,"
Availability Zones contain edge locations."," Edge locations contain 
regions. "," B  
"
16, Which AWS tools assist with estimating costs? (Choose three.),Detailed billing report,Cost allocation tags,"AWS Simple Monthly 
Calculator"," AWS Total Cost of Ownership (TCO) Calculator E. Cost 
Estimator ", BCD 
17," Which of the following are advantages of AWS consolidated billing? (Choose 
two.)",The ability to receive one bill for multiple accounts,"Service limits 
increasing by default in all accounts","A fixed discount on the monthly 
bill"," Potential volume discounts, as usage in all accounts is combined E. 
The automatic extension of the master accountג€™s AWS support plan to all 
accounts "," AD  
"
18," Which of the following Reserved Instance (RI) pricing models provides the 
highest average savings compared to On-Demand pricing?","One-year, No Upfront, Standard RI pricing","One-year, All Upfront, 
Convertible RI pricing","Three-year, All Upfront, Standard RI pricing"," 
Three-year, No Upfront, Convertible RI pricing ", C  
19," Compared with costs in traditional and virtualized data centers, AWS has:",greater variable costs and greater upfront costs.,"fixed usage costs 
and lower upfront costs.",lower variable costs and greater upfront costs. , lower variable costs and lower upfront costs. ," D  
"
20," Which service enables risk auditing by continuously monitoring and logging 
account activity, including user actions in the AWS Management Console and 
AWSSDKs?",Amazon CloudWatch,AWS CloudTrail,AWS Config, AWS Health , B  
21," Which of the following can limit Amazon Storage Service (Amazon S3) bucket 
access to specific users?",A public and private key-pair,Amazon Inspector,"AWS Identity and 
Access Management (IAM) policies", Security Groups ," C  
"
22, Which of the following security-related actions are available at no cost?,Calling AWS Support,"Contacting AWS Professional Services to request 
a workshop","Accessing forums, blogs, and whitepapers"," Attending AWS 
classes at a local university ", C 
23," Which of the Reserved Instance (RI) pricing models can change the 
attributes of the RI as long as the exchange results in the creation of RIs 
of equal or greater value?",Dedicated RIs,Scheduled RIs,Convertible RIs, Standard RIs , C  
24," Which AWS feature will reduce the customerג€™s total cost of ownership 
(TCO)?",Shared responsibility security model,Single tenancy,"Elastic 
computing", Encryption , C 
25," Which of the following services will automatically scale with an expected 
increase in web traffic?",AWS CodePipeline,Elastic Load Balancing,Amazon EBS," AWS Direct 
Connect ", B  
26," Where are AWS compliance documents, such as an SOC 1 report, located?",Amazon Inspector,AWS CloudTrail,AWS Artifact," AWS Certificate 
Manager ", C  
27," Under the AWS shared responsibility model, which of the following 
activities are the customerג€™s responsibility? (Choose two.)","Patching operating system components for Amazon Relational Database 
Server (Amazon RDS)",Encrypting data on the client-side,"Training the 
data center staff"," Configuring Network Access Control Lists (ACL) E. 
Maintaining environmental controls within a data center ", BD  
28," Which is a recommended pattern for designing a highly available 
architecture on AWS?",Ensure that components have low-latency network connectivity.,"Run 
enough Amazon EC2 instances to operate at peak load.",#VALUE!," 
Use a monolithic application that handles all operations. ", C 
29," According to best practices, how should an application be designed to run 
in the AWS Cloud?",Use tightly coupled components.,Use loosely coupled components.,"
Use infrequently coupled components.", Use frequently coupled components. ," B  
"
30, A characteristic of edge locations is that they:,host Amazon EC2 instances closer to users.,"help lower latency and 
improve performance for users.","cache frequently changing data without 
reaching the origin server.", refresh data changes daily. ," C  
"
31," Which AWS services should be used for read/write of constantly changing 
data? (Choose two.)",Amazon Glacier,Amazon RDS,AWS Snowball," Amazon Redshift E. 
Amazon EFS ", BE 
32," What is one of the advantages of the Amazon Relational Database Service 
(Amazon RDS)?",It simplifies relational database administration tasks.,"It provides 
99.99999999999% reliability and durability.","It automatically scales 
databases for loads."," It enables users to dynamically adjust CPU and RAM 
resources. ", A 
33, A customer needs to run a MySQL database that easily scales.Which AWS service should they use?,Amazon Aurora,Amazon Redshift,Amazon DynamoDB," Amazon 
ElastiCache ", A  
34," Which of the following components of the AWS Global Infrastructure 
consists of one or more discrete data centers interconnected through low 
latency links?",Availability Zone,Edge location,Region, Private networking ," A  
"
35, Which of the following is a shared control between the customer and AWS?,Providing a key for Amazon S3 client-side encryption,"Configuration 
of an Amazon EC2 instance","Environmental controls of physical AWS data 
centers", Awareness and training , D  
36," How many Availability Zones should compute resources be provisioned across 
to achieve high availability?",A minimum of one,A minimum of two,A minimum of three," A minimum 
of four or more ", B 
37," One of the advantages to moving infrastructure from an on-premises data 
center to the AWS Cloud is:",it allows the business to eliminate IT bills.,"it allows the business 
to put a server in each customerג€™s data center.","it allows the business 
to focus on business activities."," it allows the business to leave servers 
unpatched. ", C 
38," What is the lowest-cost, durable storage option for retaining database 
backups for immediate retrieval?",Amazon S3,Amazon Glacier,Amazon EBS, Amazon EC2 Instance Store , A 
39," Which AWS IAM feature allows developers to access AWS services through the 
AWS CLI?",API keys,Access keys,User names/Passwords, SSH keys ," B  
"
40," AWS supports which of the following methods to add security to Identity 
and Access Management (IAM) users? (Choose two.)",Implementing Amazon Rekognition,Using AWS Shield-protected resources ,Blocking access with Security Groups," Using Multi-Factor 
Authentication (MFA) E. Enforcing password strength and expiration ", DE 
41, What is an example of agility in the AWS Cloud?,Access to multiple instance types,Access to managed services,"
Using Consolidated Billing to produce one bill"," Decreased acquisition 
time for new compute resources "," D  
"
42," Which service should a customer use to consolidate and centrally manage 
multiple AWS accounts?",AWS IAM,AWS Organizations,AWS Schema Conversion Tool," AWS 
Config ", B  
43," What approach to transcoding a large number of individual video files 
adheres to AWS architecture principles?",Using many instances in parallel,"Using a single large instance 
during off-peak hours",Using dedicated hardware," Using a large GPU 
instance type ", A  
44, For which auditing process does AWS have sole responsibility?,AWS IAM policies,Physical security,Amazon S3 bucket policies," 
AWS CloudTrail Logs ", B 
45," Which feature of the AWS Cloud will support an international companyג€™s 
requirement for low latency to all of its customers?",Fault tolerance,Global reach,Pay-as-you-go pricing," High 
availability ", B 
46," Which of the following is the customerג€™s responsibility under the AWS 
shared responsibility model?",Patching underlying infrastructure,Physical security,"Patching 
Amazon EC2 instances", Patching network infrastructure , C  
47," A customer is using multiple AWS accounts with separate billing.How can the customer take advantage of volume discounts with minimal impact 
to the AWS resources?",Create one global AWS acount and move all AWS resources to tha account. ,Sign up for three years of Reserved Instance pricing up front.,"Use 
the consolidated billing feature from AWS Organizations."," Sign up for the 
AWS Enterprise support plan to get volume discounts. "," C  
"
48," Which of the following are features of Amazon CloudWatch Logs? (Choose 
two.)",Summaries by Amazon Simple Notification Service (Amazon SNS),"Free 
Amazon Elasticsearch Service analytics",Provided at no charge," 
Real-time monitoring E. Adjustable retention ", DE 
49," Which of the following is an AWS managed Domain Name System (DNS) web 
service?",Amazon Route 53,Amazon Neptune,Amazon SageMaker," Amazon 
Lightsail ", A  
50, Which of the following is a fast and reliable NoSQL database service?,Amazon Redshift,Amazon RDS,Amazon DynamoDB, Amazon S3 , C  
51," Which storage service can be used as a low-cost option for hosting static 
websites?",Amazon Glacier,Amazon DynamoDB,"Amazon Elastic File System (Amazon 
EFS)", Amazon Simple Storage Service (Amazon S3) ," D  
"
