Srno,Question,OptionA,OptionB,OptionC,OptionD,Answer
1," A Solutions Architect is designing an application that will encrypt all 
data in an Amazon Redshift cluster.Which action will encrypt the data at rest?",Place the Redshift cluster in a private subnet.,"Use the AWS KMS 
Default Customer master key.",Encrypt the Amazon EBS volumes.," Encrypt 
the data using SSL/TLS. ", A S
2," A website experiences unpredictable traffic. During peak traffic times, 
the database is unable to keep up with the write request.Which AWS service will help decouple the web application from the database?",Amazon SQS,Amazon EFS,Amazon S3, AWS Lambda , A w
3," A legacy application needs to interact with local storage using iSCSI. A 
team needs to design a reliable storage solution to provision all new 
storage on AWS.Which storage solution meets the legacy application requirements?","AWS Snowball storage for the legacy application until the application 
can be re-architected.","AWS Storage Gateway in cached mode for the legacy 
application storage to write data to Amazon S3.",#VALUE!," An Amazon S3 volume mounted on the legacy application server locally 
using the File Gateway service. ", C 
4," A Solutions Architect is designing an architecture for a mobile gaming 
application. The application is expected to be very popular. The Architect 
needs to prevent the Amazon RDS MySQL database from becoming a bottleneck 
due to frequently accessed queries.Which service or feature should the Architect add to prevent a bottleneck?",Multi-AZ feature on the RDS MySQL Database,"ELB Classic Load Balancer 
in front of the web application tier","Amazon SQS in front of RDS MySQL 
Database", Amazon ElastiCache in front of the RDS MySQL Database , D 
5," A company is launching an application that it expects to be very popular. 
The company needs a database that can scale with the rest of the 
application. The schema will change frequently. The application cannot 
afford any downtime for database changes.Which AWS service allows the company to achieve these objectives?",Amazon Redshift,Amazon DynamoDB,Amazon RDS MySQL, Amazon Aurora , A 
6," A Solution Architect is designing a disaster recovery solution for a 5 TB 
Amazon Redshift cluster. The recovery site must be at least 500 miles (805 
kilometers) from the live site.How should the Architect meet these requirements?",Use AWS CloudFormation to deploy the cluster in a second region.,"
Take a snapshot of the cluster and copy it to another Availability Zone.","
Modify the Redshift cluster to span two regions."," Enable cross-region 
snapshots to a different region. ", D 
7," A customer has written an application that uses Amazon S3 exclusively as a 
data store. The application works well until the customer increases the 
rate at which the application is updating information. The customer now 
reports that outdated data occasionally appears when the application 
accesses objects in Amazon S3.What could be the problem, given that the application logic is otherwise 
correct?","The application is reading parts of objects from Amazon S3 using a 
range header.","The application is reading objects from Amazon S3 using 
parallel object requests.","The application is updating records by writing 
new objects with unique keys."," The application is updating records by 
overwriting existing objects with the same keys. ", A 
8," A Solutions Architect is designing a new social media application. The 
application must provide a secure method for uploading profile photos. Each 
user should be able to upload a profile photo into a shared storage 
location for one week after their profile is created.Which approach will meet all of these requirements?","Use Amazon Kinesis with AWS CloudTrail for auditing the specific times 
when profile photos are uploaded.","Use Amazon EBS volumes with IAM 
policies restricting user access to specific time periods.",#VALUE!," Use Amazon CloudFront with AWS 
CloudTrail for auditing the specific times when profile photos are 
uploaded. ", C 
9," An application requires block storage for file updates. The data is 500 GB 
and must continuously sustain 100 MiB/s of aggregate read/write operations.Which storage option is appropriate for this application?",Amazon S3,Amazon EFS,Amazon EBS, Amazon Glacier , An 
10,#N/A,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
11," A Lambda function must execute a query against an Amazon RDS database in a 
private subnet.Which steps are required to allow the Lambda function to access the Amazon 
RDS database? (Select two.)",Create a VPC Endpoint for Amazon RDS.,"Create the Lambda function 
within the Amazon RDS V","C. Change the ingress rules of Lambda security 
group, allowing the Amazon RDS security group."," Change the ingress rules 
of the Amazon RDS security group, allowing the Lambda security group. E. 
Add an Internet Gateway (IGW) to the VPC, route the private subnet to the 
IGW. ", AD 
12," A Solutions Architect needs to build a resilient data warehouse using 
Amazon Redshift. The Architect needs to rebuild the Redshift cluster in 
another region.Which approach can the Architect take to address this requirement?","Modify the Redshift cluster and configure cross-region snapshots to the 
other region.","Modify the Redshift cluster to take snapshots of the 
Amazon EBS volumes each day, sharing those snapshots with the other region. ","Modify the Redshift cluster and configure the backup and specify the 
Amazon S3 bucket in the other region."," Modify the Redshift cluster to use 
AWS Snowball in export mode with data delivered to the other region. ", B 
13," A popular e-commerce application runs on AWS. The application encounters 
performance issues. The database is unable to handle the amount of queries 
and load during peak times. The database is running on the RDS Aurora 
engine on the largest instance size available.What should an administrator do to improve performance?",Convert the database to Amazon Redshift.,"Create a CloudFront 
distribution.",Convert the database to use EBS Provisioned IOPS.," 
Create one or more read replicas. ", C 
14," A Solutions Architect is designing the architecture for a new three-tier 
web-based e-commerce site that must be available 24/7. Requests are 
expected to range from 100 to 10,000 each minute. Usage can vary depending 
on time of day, holidays, and promotions. The design should be able to 
handle these volumes, with the ability to handle higher volumes if 
necessary.How should the Architect design the architecture to ensure the web tier is 
cost-optimized and can handle the expected traffic? (Select two.)",Launch Amazon EC2 instances in an Auto Scaling group behind an E,"B. 
Store all static files in a multi-AZ Amazon Aurora database.","Create an 
CloudFront distribution pointing to static content in Amazon S3."," Use 
Amazon Route 53 to route traffic to the correct region. E. Use Amazon S3 
multi-part uploads to improve upload times. ", AC 
15," A Solution Architect is designing a three-tier web application. The 
Architect wants to restrict access to the database tier to accept traffic 
from the application servers only. However, these application servers are 
in an Auto Scaling group and may vary in quantity.How should the Architect configure the database servers to meet the 
requirements?","Configure the database security group to allow database traffic from 
the application server IP addresses.","Configure the database security 
group to allow database traffic from the application server security group. ","Configure the database subnet network ACL to deny all inbound 
non-database traffic from the application-tier subnet."," Configure the 
database subnet network ACL to allow inbound database traffic from the 
application-tier subnet. ", C 
16," An Internet-facing multi-tier web application must be highly available. An 
ELB Classic Load Balancer is deployed in front of the web tier. Amazon EC2 
instances at the web application tier are deployed evenly across two 
Availability Zones. The database is deployed using RDS Multi-AZ. A NAT 
instance is launched for AmazonEC2 instances and database resources to access the Internet. These 
instances are not assigned with public IP addresses.Which component poses a potential single point of failure in this 
architecture?",Amazon EC2,NAT instance,ELB Classic Load Balancer, Amazon RDS , C 
17," A call center application consists of a three-tier application using Auto 
Scaling groups to automatically scale resources as needed. Users report 
that every morning at 9:00 AM the system becomes very slow for about 15 
minutes. A Solution Architect determines that a large percentage of the 
call center staff starts work at 9:00AM, so Auto Scaling does not have enough time to scale out to meet demand.How can the Architect fix the problem?","Change the Auto Scaling group's scale out event to scale based on 
network utilization.","Create an Auto Scaling scheduled action to scale 
out the necessary resources at 8:30 AM every morning.","Use Reserved 
Instances to ensure the system has reserved the right amount of capacity 
for the scale-up events."," Permanently keep a steady state of instances 
that is needed at 9:00 AM to guarantee available resources, but leverage 
Spot Instances. ", A 
18," An e-commerce application is hosted in AWS. The last time a new product 
was launched, the application experienced a performance issue due to an 
enormous spike in traffic. Management decided that capacity must be doubled 
the week after the product is launched.Which is the MOST efficient way for management to ensure that capacity 
requirements are met?",Add a Step Scaling policy.,Add a Dynamic Scaling policy.,"Add a 
Scheduled Scaling action.", Add Amazon EC2 Spot Instances. , B 
19," A customer owns a simple API for their website that receives about 1,000 
requests each day and has an average response time of 50 ms. It is 
currently hosted on one c4.large instance.Which changes to the architecture will provide high availability at the 
LOWEST cost?","Create an Auto Scaling group with a minimum of one instance and a 
maximum of two instances, then use an Application Load Balancer to balance 
the traffic.",#VALUE!,"B. Recreate the API using Amazon API Gateway and use AWS 
Lambda as the service backe"," Recreate the API using Amazon API Gateway and integrate the 
new API with the existing backend service. ", A 
20," An organization is currently hosting a large amount of frequently accessed 
data consisting of key-value pairs and semi-structured documents in their 
data center.They are planning to move this data to AWS.Which of one of the following services MOST effectively meets their needs?",Amazon Redshift,Amazon RDS,Amazon DynamoDB, Amazon Aurora , An 
21," A company is using an Amazon S3 bucket located in us-west-2 to serve 
videos to their customers. Their customers are located all around the world 
and the videos are requested a lot during peak hours. Customers in Europe 
complain about experiencing slow downloaded speeds, and during peak hours, 
customers in all locations report experiencing HTTP 500 errors.What can a Solutions Architect do to address these issues?","Place an elastic load balancer in front of the Amazon S3 bucket to 
distribute the load during peak hours.","Cache the web content with Amazon 
CloudFront and use all Edge locations for content delivery.","Replicate 
the bucket in eu-west-1 and use an Amazon Route 53 failover routing policy 
to determine which bucket it should serve the request to."," Use an Amazon 
Route 53 weighted routing policy for the CloudFront domain name to 
distribute the GET request between CloudFront and the Amazon S3 bucket 
directly. ", D 
22," A Solutions Architect is designing a solution that includes a managed VPN 
connection.To monitor whether the VPN connection is up or down, the Architect should 
use:",an external service to ping the VPN endpoint from outside the VPC.,#VALUE!,"B. 
AWS CloudTrail to monitor the endpoint. C. the CloudWatch TunnelState 
Metric.", an AWS Lambda function that parses the VPN connection logs. , A S
23," A social networking portal experiences latency and throughput issues due 
to an increased number of users. Application servers use very large 
datasets from anAmazon RDS database, which creates a performance bottleneck on the database.Which AWS service should be used to improve performance?",Auto Scaling,Amazon SQS,Amazon ElastiCache," ELB Application 
Load Balancer ", C 
24," A Solutions Architect is designing network architecture for an application 
that has compliance requirements. The application will be hosted on Amazon 
EC2 instances in a private subnet and will be using Amazon S3 for storing 
data. The compliance requirements mandate that the data cannot traverse the 
publicInternet.What is the MOST secure way to satisfy this requirement?",Use a NAT Instance.,Use a NAT Gateway.,Use a VPC endpoint.," Use 
a Virtual Private Gateway. ", A S
